111.0001	15.5001	0.0
111.0004	15.5003	0.01
111.0004	15.5003	0.02
111.0016	15.5004	0.08
111.002	15.5005	0.08
111.0021	15.5006	0.1
111.0022	15.5007	0.12
111.0024	15.5009	0.13
111.0025	15.5009	0.23
111.0025	15.5012	0.24
111.0026	15.5013	0.25
111.0028	15.5015	0.26
111.0028	15.5019	0.26
111.0033	15.5021	0.3
111.0034	15.5021	0.31
111.0035	15.5022	0.32
111.0039	15.5025	0.34
111.0045	15.503	0.4
111.0046	15.5033	0.43
111.0047	15.5034	0.43
111.0048	15.5035	0.45
111.005	15.5041	0.48
111.0054	15.5042	0.53
111.0056	15.5046	0.54
111.0059	15.505	0.56
111.0059	15.505	0.56
111.006	15.5053	0.56
111.006	15.5054	0.58
111.0061	15.5054	0.59
111.0061	15.5062	0.6
111.0063	15.5065	0.62
111.0064	15.5066	0.62
111.0065	15.5066	0.63
111.0067	15.5071	0.64
111.007	15.5078	0.64
111.0071	15.5079	0.65
111.0078	15.5082	0.68
111.008	15.5083	0.7
111.0083	15.5083	0.72
111.0086	15.5085	0.72
111.0088	15.5087	0.75
111.0089	15.5088	0.76
111.0089	15.5089	0.81
111.0091	15.509	0.82
111.0093	15.509	0.84
111.0093	15.5096	0.84
111.0096	15.5096	0.86
111.0097	15.5097	0.91
111.0097	15.5097	0.91
111.0099	15.5099	0.92
111.0099	15.51	0.95
111.0102	15.5103	0.97
111.0103	15.5104	0.98
111.0105	15.5105	1.02
111.0109	15.5105	1.03
111.011	15.5108	1.03
111.0111	15.5111	1.04
111.0112	15.5112	1.06
111.0112	15.5113	1.1
111.0113	15.5116	1.1
111.0115	15.5118	1.13
111.0118	15.5123	1.15
111.0119	15.5126	1.19
111.0124	15.5129	1.2
111.0125	15.5136	1.24
111.0127	15.5138	1.26
111.0128	15.514	1.27
111.013	15.5141	1.28
111.0131	15.5144	1.28
111.0139	15.5146	1.29
111.0139	15.5146	1.3
111.0142	15.5146	1.3
111.0142	15.5147	1.32
111.0147	15.5149	1.34
111.0151	15.515	1.38
111.0153	15.515	1.39
111.0154	15.515	1.41
111.0155	15.5152	1.43
111.0156	15.5157	1.45
111.0157	15.516	1.47
111.0157	15.5162	1.52
111.0161	15.5168	1.55
